"메인 키","분류명","공간명(한글)","공간명(영어)","개관년도","지역","우편번호","주소","상세주소","전화번호","홈페이지"
"257","도서관","남가좌 새롬어린이도서관","","    ","서대문구 ","120-807","서울시 서대문구 증가로 10길 16-15","","02-360-8675","http://www.kidlib.dobong.kr"
"258","전시시설","남경화랑","","    ","종로구  ","110-290","서울시 종로구 인사동길 27","","02-733-1411","http://sowol.sdmc.go.kr"
"259","공연연습실(대학로)","남산예술센터 드라마센터","","    ","중구   ","110-250","서울시 중구 소파로 138","","02-758-2100","http://www.smuac.co.kr"
"260","공연장","내여페THE STAGE","NAEYUPE'S THE STAGE","2012","종로구  ","       ","서울시 종로구 동숭동 1-58 지하","","070-4307-5145","http://www.doosanartcenter.com/"
"261","복지관","노원1종합사회복지관","","    ","노원구  ","139-775","서울시 노원구 월계로 372","사슴아파트 1단지 內","02-949-0700~3","http://www.operagallery.com"
"262","공연장","노원문화예술회관","Nowon Art Center","2004","노원구  ","       ","서울시 노원구 무수동길181 (139-861) 노원문화예술회관","","02-3392-5721","http://art.nowon.seoul.kr"
"263","문예회관","노원문화예술회관","","    ","노원구  ","139-861","서울시 노원구 중계로 181","","02-951-3355","http://www.arts-tree.co.kr"
"264","지방문화원","노원문화원","","    ","노원구  ","139-805","서울시 노원구 동일로 197길 24","","02-938-1244~5",""
"265","도서관","노원어린이도서관  ","","    ","노원구  ","139-859","서울시 노원구 한글비석길 346","","02-933-7145",""
"266","공연연습실(대학로)","노원어울림극장","","    ","노원구  ","139-200","서울시 노원구 노해로 502","","02-2289-6767",""
"267","도서관","노원정보도서관","","    ","노원구  ","139-825","서울시 노원구 노원로 34길 43","","02-950-0050","http://www.hongikartcenter.com"
"268","청소년수련관","노원청소년수련관","","    ","노원구  ","121-230","서울시 노원구 덕릉로70길 99","","02-3391-4141","http://www.caisart.com"
"269","도서관","노원평생학습관","","    ","노원구  ","139-865","서울시 노원구 동일로 204길 13","","02-979-1741","http://www.hongikartcenter.com"
"270","공연장","노을소극장","","2011","종로구  ","       ","서울시 종로구 동숭동 1-51","","02-921-9723","http://www.thenoel.co.kr"
"271","전시시설","노화랑","","    ","종로구  ","110-300","서울시 종로구 인사동길 54","","02-732-3558","http://www.sejongpac.or.kr"
"272","복지관","녹번종합사회복지관","","    ","은평구  ","122-824","서울시 은평구 은평로 21길 14-26","","02-388-6341~4","http://www.nokbeon.or.kr"
"273","공연연습실(대학로)","논현1동문화예술관","","    ","강남구  ","135-010","서울시 강남구 학동로 20길 25","","02-3443-6564",""
"274","공연연습실(대학로)","논현2문화센터","","    ","강남구  ","135-821","서울시 강남구 학동로43길 17","","02-2176-0620",""
"275","도서관","논현정보도서관","","    ","강남구  ","135-815","서울시 강남구 학동로 169-1","","02-515-1178","http://www.21csw.or.kr"
"276","박물관","농업박물관","","    ","중구   ","100-707","서울시 중구 새문안로 16","","02-2080-5727~8","http://www.spcc.or.kr"
"277","복지관","능인종합사회복지관","","    ","강남구  ","135-960","서울시 강남구 양재대로 340","","02-571-2988","http://www.sillym.or.kr"
"278","전시시설","다도화랑","","    ","강남구  ","135-889","서울시 강남구 압구정로12길 35-1","","02-542-0755",""
"279","공연연습실(대학로)","단막극장","","    ","종로구  ","110-809","서울시 종로구 동숭4길 16-3","","02-765-1544","http://danmac.blog.me/"
"280","공연장","달빛극장","moonshine theater","2012","종로구  ","       ","서울시 종로구 명륜4가 41-1","","02-747-9202","http://www.shinmyungnanum.com"
"281","미술관","대림미술관","","    ","종로구  ","110-040","서울시 종로구 자하문로4길 21","","02-720-0667","http://www.daelimmuseum.org"
"282","전시시설","대림미술관","","    ","종로구  ","110-040","서울시 종로구 자하문로4길 21","","02-720-0667","http://www.sejongpac.or.kr"
"283","도서관","대림정보문화도서관","","    ","영등포구 ","150-811","서울시 영등포구 도산로 27","","02-828-3700","http://www.dllib.or.kr"
"284","복지관","대방종합사회복지관","","    ","동작구  ","156-811","서울시 동작구 여의대방로 44길 47","","02-826-2900~3","http://www.daebangswc.org"
"285","전시시설","대안공간 동네미술관","","    ","용산구  ","140-830","서울시 용산구 효창원로110길 11-1","","070-4204-6343","http://blog.naver.com/dongnemisul"
"286","복지관","대청종합사회복지관","","    ","강남구  ","135-938","서울시 강남구 양재대로 55길 10","","02-459-6332~4","http://www.causwc.or.kr"
"287","도서관","대치도서관","","    ","강남구  ","135-778","서울시 강남구 삼성로 212","은마아파트 복지상가 2층 215호","02-565-6666","http://www.gs-youth.or.kr"
"288","공연장","대학로 갤러리","Daehakro Mio Gallery","2009","종로구  ","       ","서울시 종로구 동숭동 1-60 바탕골 4층","","02-742-7088","http://www.gallerymio.com"
"289","전시시설","대학로 갤러리","","    ","종로구  ","110-809","서울시 종로구 대학로10길 5","4층","02-742-7088","http://www.gabyun.com/"
"290","공연장","대학로 국민대학교 제로원디자인센터","Zeroone design center","    ","종로구  ","       ","서울시 종로구 동숭동 1-1","","02-745-2490","http://www.zeroonecenter.com"
"291","공연연습실(대학로)","대학로 극장가자","","    ","종로구  ","110-809","서울시 종로구 대학로8가길 80","미트모빌딩 5층","",""
"292","공연장","대학로 뮤지컬센터 공간 피꼴로","DaehangnoMusicalCenter  Piccolo","2012","종로구  ","       ","서울시 종로구 동숭길 100 대학로뮤지컬센터 공간삐꼴로 4F","","02-2135-1507",""
"293","공연장","대학로 소리아트홀 1관","SORIARTHALL","2010","종로구  ","       ","서울시 종로구 혜화동 90-18 뉴시티빌딩4층 소리아트홀","","02-766-2022","http://www.sorihall.com"
"294","공연장","대학로 소리아트홀 2관","SORIARTHALL","2010","종로구  ","       ","서울시 종로구 혜화동 90-18 뉴시티빌딩4층 소리아트홀","","02-766-2022","http://www.sorihall.com"
"295","공연장","대학로 소리아트홀 3관","SORIARTHALL","2010","종로구  ","       ","서울시 종로구 혜화동 90-18 뉴시티빌딩4층 소리아트홀","","02-766-2022","http://www.sorihall.com"
"296","공연장","대학로 스타시티 6층","Starcity 6F","2012","종로구  ","       ","서울시 종로구 명륜4가 113-1 스타시티 빌딩","","02-747-9139",""
"297","공연장","대학로 아트원씨어터 1관","","2009","종로구  ","       ","서울시 종로구 동숭동 1-181번지 대학로 아트원씨어터","","02-762-0010",""
"298","공연장","대학로 아트원씨어터 2관","","2009","종로구  ","       ","서울시 종로구 동숭동 1-181번지 대학로 아트원씨어터","","02-762-0010",""
"299","공연장","대학로 아트원씨어터 3관","","2009","종로구  ","       ","서울시 종로구 동숭동 1-181번지 대학로 아트원씨어터","","02-762-0010",""
"300","공연장","대학로 우리네극장(구 미라클씨어터 2관)","deahakro woorine theatre","2012","종로구  ","       ","서울시 종로구 동숭동 1-145","","02-766-0242","http://www.ycac.yonsei.ac.kr"
"301","공연연습실(대학로)","대학로갈갈이홀","","    ","종로구  ","110-809","서울시 종로구 대학로8가길 111","","02-741-1011","https://www.ggfamily.co.kr"
"302","공연장","대학로극장","Daehangno Theater","1987","종로구  ","       ","서울시 종로구 연건동 178-1 동마루빌딩 지하1층","","02-764-6052,02-766-0773",""
"303","공연연습실(대학로)","대학로극장","","    ","종로구  ","110-460","서울시 종로구 대학로 60","B1","02-764-6052","https://www.dtheater.or.kr"
"304","공연장","대학로뮤지컬센터","","    ","종로구  ","       ","서울시 종로구 동숭동 25-5번지","","02-2135-1507","http://www.kous.or.kr/kous"
"305","공연장","대학로비너스극장","","2011","종로구  ","       ","서울시 종로구 동숭동 1-93 지하1층","","",""
"306","공연연습실(대학로)","대학로스타시티 SM스테이지","","    ","종로구  ","110-524","서울시 종로구 대학로11길 23","스타시티 빌딩","02-747-9139",""
"307","공연장","대학로연습실1","","2004","종로구  ","       ","서울시 종로구 동숭동 1-43","","02-747-7805","http://www.sfac.or.kr"
"308","공연장","대학로연습실2","","2009","종로구  ","       ","서울시 종로구 동숭동 1-75 2층","","02-747-8558","http://www.sfac.or.kr"
"309","공연연습실(대학로)","대학로예술극장 3관","","    ","종로구  ","110-810","서울시 종로구 이화장길 100","쇳대박물관B1","02-741-3124","https://www.dat.or.kr"
"310","공연장","대학로예술극장 3관(구,상상나눔씨어터)","","2009","종로구  ","       ","서울시 종로구 동숭동 187-8 B1 대학로예술극장 3관 110-810","","02-3668-0029",""
"311","공연장","대학로예술극장 대극장","Daehangno Arts Theater","2009","종로구  ","       ","서울시 종로구 동숭동 1-67","","02-3668-0007","http://www.hanpac.or.kr"
"312","공연장","대학로예술극장 소극장","Daehangno Arts Theater Small Theater","2009","종로구  ","       ","서울시 종로구 동숭동 1-67","","02-3668-0007","http://www.hanpac.or.kr"
"313","공연연습실(대학로)","대학로예술마당2관","","    ","종로구  ","110-500","서울시 종로구 이화장길 26","","02-1599-2117","https://www.dat.or.kr"
"314","공연장","대학로우리극장","Theater Woori","2005","종로구  ","       ","서울시 종로구 동숭동 1-58 대학성 빌딩 지하","","02-745-0308","http://http://www.jtculture.com"
"315","공연장","대학로자유극장(구. PMC대학로자유극장)","PMC Daehangno Ja-U Theater","2005","종로구  ","       ","서울시 종로구 동숭동 1-45 자유빌딩","","02-745-8289","http://www.i-pmc.co.kr"
"316","공연장","댕로홀(구 두레홀1관)","Daeng no hall","2005","종로구  ","       ","서울시 종로구 동숭동 1-78번지 마로니빌딩 지하1층","","070-4355-0010",""
"317","공연장","더 스테이지","The Stage","2009","서대문구 ","       ","서울시 서대문구 창천동 18-29 버티고빌딩 B2층","","02-312-9940","http://http://www.thestagetheater.co.kr/"
"318","전시시설","더갤러리","","    ","마포구  ","121-893","서울시 마포구 잔다리로","28 W&H빌딩 B1","02-3142-5558","http://www.the-gallery.kr/"
"319","공연장","더굿씨어터","The Good Theater","2004","종로구  ","       ","서울시 종로구 혜화동 185번지 중원빌딩 지하 2층","","02-741-7251","http://cafe.daum.net/theaterill"
"320","공연연습실(대학로)","더굿씨어터","","    ","종로구  ","110-530","서울시 종로구 대학로 144","B2","02-741-7251",""
"321","전시시설","더컬럼스갤러리","","    ","용산구  ","140-863","서울시 용산구 이태원로 27길 31-2","","02-3442-6301","http://www.columns.co.kr"
"322","미술관","덕수궁미술관 국립현대미술관","","    ","중구   ","100-120","서울시 중구 세종대로 99","","02-2022-0600",""
"323","도서관","도봉1동 어린이도서관","","    ","도봉구  ","132-816","서울시 도봉구 도봉로 175길 10"," 3층","02-3492-0078","http://www.gdgumin.or.kr"
"324","공연연습실(대학로)","도봉구 시설관리공단 도봉구민회관","","    ","도봉구  ","132-908","서울시 도봉구 창동역길 23","","02-901-5000","http://www.youtra.or.kr"
"325","공연장","도봉구민회관 대공연장","","1993","     ","       ","","","02-901-5000","http://www.cgv.co.kr/arthall/info/introduction.aspx"
"326","도서관","도봉도서관","","    ","도봉구  ","132-885","서울시 도봉구 삼양로 556","","02-6714-7415","http://www.gyyc.kr"
"327","지방문화원","도봉문화원","","    ","도봉구  ","132-717","서울시 도봉구 도봉로 552","","02-905-4026","http://www.dobong.or.kr"
"328","도서관","도봉문화정보센터","","    ","도봉구  ","132-040","서울시 도봉구 덕릉로 315","","02-900-1835~8","http://www.gdcc.or.kr"
"329","복지관","도봉서원종합사회복지관","","    ","도봉구  ","132-822","서울시 도봉구 마들로 668","","02-3494-4755~6","http://www.seowonbokji.or.kr"
"330","도서관","도봉어린이문화정보센터","","    ","도봉구  ","132-040","서울시 도봉구 노해로69길 151","","02-995-4171~2","http://www.gangdongarts.or.kr"
"331","도서관","독립서점 쿨디가","Bookstore KULDIGA","2021","서초구  ","06654  ","서울시 서초구 효령로55길 22 (서초동, 그린빌오피스텔)","그린빌오피스텔 401호 (3호선 남부터미널역 6번 출구)","",""
"332","공연연습실(대학로)","돔예술 사랑채","dom art","2020","강북구  ","01157  ","서울시 강북구 도봉로 182 (미아동, 진경빌딩)","5층","02-983-7363",""
"333","공연장","동국대학교 이해랑 예술극장","","2008","중구   ","       ","서울시 중구 필동 3가 26번지","","02-2260-8901~2","http://www.이해랑예술극장.com/"
"334","공연연습실(대학로)","동국대학교90주년기념문화관(예술극장)","","    ","중구   ","100-715","서울시 중구 필동3가 26","동국대학교","02-2260-8901","http://www.globe.or.kr"
"335","문예회관","동대문구 구민회관","","    ","동대문구 ","130-841","서울시 동대문구 장한로18길 82-9","","02-2247-9662~3","http://www.dfmc.kr/course/gym/"
"336","도서관","동대문구 정보화도서관","","    ","동대문구 ","130-868","서울시 동대문구 회기로 10길 60","","02-960-1959","http://www.L4D.or.kr"
"337","공연장","동대문구문화회관","Dongdaemun-Gu Culture Center","1997","동대문구 ","       ","서울시 동대문구 답십리길 210 - 2 (답십리동 산2-121","","02-2127-5090","http://www.arirangv.co.kr"
"338","도서관","동대문도서관","","    ","동대문구 ","130-813","서울시 동대문구 천호대로 4길 22","","02-2254-1845~7","http://ddmlib.sen.go.kr"
"339","지방문화원","동대문문화원","","    ","동대문구 ","130-800","서울시 동대문구 답십리길210-2","","02-2241-9300","http://dongdaemun.kccf.or.kr/"
"340","복지관","동대문종합사회복지관","","    ","동대문구 ","130-861","서울시 동대문구 약령시로 5길 22","","02-920-4500","http://www.communitycenter.or.kr"
"341","청소년수련관","동대문청소년수련관","","    ","동대문구 ","130-866","서울시 동대문구 제기로 33길 25","","02-3295-1478","http://www.ddmy.or.kr"
"342","공연연습실(대학로)","동덕여대공연예술센터","","    ","종로구  ","110-809","서울시 종로구 동숭길 126","","02-940-4578","https://www.dongduk.ac.kr"
"343","공연연습실(대학로)","동랑예술센터 대극장 ","","    ","중구   ","100-250","서울시 중구 소파로 138","","02-778-0261","http://www.changjo1.co.kr"
"344","공연연습실(대학로)","동방예술극장","","    ","마포구  ","121-806","서울시 마포구 신촌로20길 19","","02-712-3865",""
"345","전시시설","동산방화랑","","    ","종로구  ","110-170","서울시 종로구 인사동9길 35","","02-733-5877","http://www.sac.or.kr"
"817","복지관","유락종합사회복지관","","    ","중구   ","100-820","서울시 중구 퇴계로 460","","02-2235-4000","http://www.hanpac.or.kr"
"346","공연장","동서울아트홀","Dongseoul Art Hall","2011","광진구  ","       ","서울시 광진구 구의동 595 번지","","02-3436-7777","http://www.sunginthesky.com"
"347","공연장","동서울아트홀","DONGSEOULARTHALL","2012","광진구  ","       ","서울시 광진구 구의동 595 지하2층","","02-3436-7777","http://www.sorihall.com"
"348","공연연습실(대학로)","동서울아트홀","","    ","광진구  ","143-831","서울시 광진구 구의강변로 385","B2","02-3436-7777",""
"349","전시시설","동숭갤러리","","    ","종로구  ","110-522","서울시 종로구 창경궁로 34길 18-5","","02-745-0011","http://www.sac.or.kr"
"350","공연장","동숭무대소극장","Dong-Soong Small Theater","2002","종로구  ","03068  ","서울시 종로구 혜화로 35 (명륜1가, 경주이씨중앙화수회관)","지하1층 동숭무대소극장","",""
"351","공연장","동숭아트센터 꼭두랑놀자","","2009","종로구  ","       ","서울시 종로구 동숭동 1-5번지 동숭아트센터","","02-766-3315","http://www.kokdumuseum.com"
"352","공연장","동양아트홀","Dongyang Art Hall&nbsp;","2006","강남구  ","       ","서울시 강남구 논현동 1-3번지 렉스타워 B1","","02-515-6510","http://www.dyarthall.co.kr"
"353","도서관","동작 상도 국주도서관","","    ","동작구  ","156-830","서울시 동작구 매봉로 37","","02-813-6750,02-813-6760","http://lib.dongjak.go.kr"
"354","도서관","동작도서관","","    ","동작구  ","156-806","서울시 동작구 장승배기로 94","","02-823-6417","http://djlib.sen.go.kr"
"355","지방문화원","동작문화원","","    ","동작구  ","156-832","서울시 동작구 문화원길 10","","02-822-8500","http://www.dongjaktv.net"
"356","도서관","동작어린이도서관","","    ","동작구  ","156-052","서울시 동작구 장승배기로 16길 98","","02-823-6750","http://lib.dongjak.go.kr"
"357","복지관","동작이수사회복지관","","    ","동작구  ","156-814","서울시 동작구 동작대로 35차 7길","","02-592-3721~3","http://www.isuwelfare.or.kr"
"358","복지관","동작종합사회복지관","","    ","동작구  ","156-807","서울시 동작구 등용로 47","","02-814-8114","http://www.dongjaksw.or.kr"
"359","전시시설","동호갤러리","","    ","종로구  ","110-718","서울시 종로구 인사동7길 12","백상빌딩 B1","02-722-3665","http://www.sac.or.kr"
"360","공연장","두레홀 3관","Doore Hall 3","2006","종로구  ","       ","서울시 종로구 동숭동 1-78번지 마로니 빌딩 지하","","02-741-5978",""
"361","공연연습실(대학로)","두레홀 4관","","    ","종로구  ","110-809","서울시 종로구 대학로12길 15","","02-741-5978",""
"362","공연장","두레홀 4관(구,아룽구지)","Doore Hall 4","2007","종로구  ","       ","서울시 종로구 동숭동 1-54","","02-741-5978",""
"363","공연연습실(대학로)","두레홀1관","","    ","종로구  ","110-809","서울시 종로구 대학로12길 50","마로니빌딩 B1","02-741-5970,02-741-5979",""
"364","전시시설","두루아트스페이스","","    ","종로구  ","110-817","서울시 종로구 창의문로 151","","02-720-0345","http://www.lgart.com/Main/LgArtsCenter_Main.aspx"
"365","공연연습실(대학로)","두산아트센터","","    ","종로구  ","110-739","서울시 종로구 종로33길 15","","02-708-5001","http://www.doosanartcenter.com"
"366","공연장","두산아트센터 스페이스111","DooSan Art Center Space 111&nbsp;","    ","종로구  ","       ","서울시 종로구 연지동 270","","02-708-5001","http://www.doosanartcenter.com/"
"367","공연장","두산아트센터 연강홀","Doosan Art Center Yonkang Hall","    ","종로구  ","       ","서울시 종로구 연지동 270","","02-708-5001~3","http://www.doosanartcenter.com/"
"368","공연연습실(대학로)","두산아트센터 연강홀","","    ","종로구  ","110-739","서울시 종로구 종로33길 15","","02-708-5001","http://www.doosanartcenter.com/yonkang/yonkang.asp"
"369","공연장","드림시어터","DREAM Theater","2012","종로구  ","       ","서울시 종로구 동숭동 1-48 빌리지빌딩 3층 [110-809]","","070-8780-0096,070-8621-0034",""
"370","복지관","등촌1 종합사회복지관","","    ","강서구  ","157-761","서울시 강서구 강서로68길 36","","02-2658-1010",""
"371","복지관","등촌4 종합사회복지관","","    ","강서구  ","157-764","서울시 강서구 공항대로 39길 59","","02-2658-8800",""
"372","복지관","등촌7 종합사회복지관","","    ","강서구  ","157-767","서울시 강서구 공항대로 43길 104","","02-2658-6521~3",""
"373","복지관","등촌9 종합사회복지관","","    ","강서구  ","157-769","서울시 강서구 화곡로63가길 92","주공아파트 9단지 內","02-2658-4129","http://www.moingallery.co.kr"
"374","공연장","디마떼오홀","Dimatteo","1998","종로구  ","       ","서울시 종로구 동숭동 1-141","","02-747-4444","http://www.m//lee.com"
"375","공연연습실(대학로)","디마떼오홀","","    ","종로구  ","110-809","서울시 종로구 동숭길 29","","02-747-4444","http://www.dimatteo.co.kr"
"376","공연장","디큐브아트센터","","    ","     ","       ","","","02-2211-3000","http://www.spaceowl.co.kr"
"377","공연장","떼아뜨르추","","    ","마포구  ","       ","서울시 마포구 동교동 358-116","","02-3142-0538~9",""
"378","공연연습실(대학로)","라이브극장","","    ","종로구  ","110-809","서울시 종로구 대학로12길 64","B1~3","02-744-6700",""
"379","공연장","라이프씨어터","Life Theater","2008","종로구  ","       ","서울시 종로구 명륜2가 24-1","","070-8151-6416",""
"380","공연연습실(대학로)","라이프씨어터","","    ","종로구  ","110-522","서울시 종로구 창경궁로34길 26","B1","070-8151-6416",""
"381","공연장","라트어린이극장","LATT Children`s Theatre","2002","강남구  ","       ","서울시 강남구 도곡동 514-1","","02-560-0999","http://www.lattct.com"
"382","공연연습실(대학로)","라트어린이극장","","    ","강남구  ","135-854","서울시 강남구 논현로 164","튼튼영어빌딩","02-5600-999","http://www.wooriarthall.or.kr"
"383","공연장","레몬아트홀","Arts Play Theater 2","2007","종로구  ","       ","서울시 종로구 동숭동 1-58","","",""
"384","공연연습실(대학로)","롤링홀","","    ","마포구  ","121-895","서울시 마포구 어울마당로 35","신보빌딩 지하","02-325-6071","http://www.rollinghall.co.kr"
"385","공연장","롯데월드 예술극장","Lotteworld Art Theater","1994","송파구  ","       ","서울시 송파구 잠실동 40-1번지","","02-411-0668","http://www.lottearthall.co.kr/"
"386","공연연습실(대학로)","롯데월드예술극장","","    ","송파구  ","138-721","서울시 송파구 올림픽로 240","","02-411-0668",""
"387","공연장","롯데카드 아트센터","LOTTE CARD ART CENTER","2012","마포구  ","       ","서울시 마포구 서교동 490번지 메세나 폴리스 2층 롯데카드 아트센터","","02-6357-0001",""
"388","공연장","르메이에르소극장","Lemeilleur Theater","2006","종로구  ","       ","서울시 종로구 동숭동 1-145 대학빌딩 지하 1층","","02-747-2232",""
"389","공연연습실(대학로)","르메이에르소극장","","    ","종로구  ","110-809","서울시 종로구 동숭길 55","대학빌딩 B1","02-747-2232",""
"390","전시시설","리더스 갤러리수","","    ","종로구  ","110-300","서울시 종로구 인사동5길 21","","02-733-5454","http://www.이해랑예술극장.com/"
"391","전시시설","리씨갤러리","","    ","종로구  ","110-220","서울시 종로구 팔판길 1-8","","02-3210-0467~8","http://www.cmah.or.kr"
"392","공연장","마당세실극장","Madang Sesil Theater","1997","종로구  ","       ","서울시 종로구 동숭동 192-18 지하","","02-747-5773","http://cafe.daum.net/mdsdhr"
"393","공연연습실(대학로)","마당세실극장","","    ","종로구  ","110-810","서울시 종로구 이화장길 78","","02-747-5773",""
"394","복지관","마들사회복지관","","    ","노원구  ","139-865","서울시 노원구 동일로 210길 22","","02-971-8387~8","http://www.yooartspace.com"
"395","공연장","마로니에 극장","marronnier theater","2010","종로구  ","       ","서울시 종로구 동숭동 130-47","","02-764-0686","http://cafe.naver.com/artfactoryshow"
"396","공연연습실(대학로)","마로니에극장","","    ","종로구  ","110-809","서울시 종로구 동숭길 50","","02-764-0686",""
"397","공연장","마루채","maruchae","2003","종로구  ","       ","서울시 종로구 명륜4가 62번지 공간 마루채","","02-742-7959","http://www.shinmyungnanum.com"
"398","공연장","마을극장 흰고무신","Village Theater White Rubber Shoes","2018","도봉구  ","01315  ","서울시 도봉구 시루봉로15마길 13 (방학동, 방학2동 마을극장)","마을극장 흰고무신","02-955-0110","http://blog.naver.com/dobong_art"
"399","전시시설","마이클슐츠갤러리","","    ","강남구  ","135-955","서울시 강남구 압구정로 461","네이쳐포엠 301호","02-546-7955","http://www.9ro.or.kr"
"400","복지관","마천종합사회복지관","","    ","송파구  ","138-821","서울시 송파구 마천로 65길 4","","02-449-3141~2","http://www.sbyouth.or.kr"
"401","청소년수련관","마천청소년수련관","","    ","송파구  ","138-821","서울시 송파구 성내천로 319","","02-443-0100","http://www.samjeon.or.kr"
"402","도서관","마포구립 서강도서관","","    ","마포구  ","121-881","서울시 마포구 독막로 165","","02-3141-7053","http://sglib.mapo.go.kr"
"403","공연연습실(대학로)","마포문화센터","","    ","마포구  ","121-809","서울시 마포구 대흥로 20길 28","","02-3274-8500","http://www.mapoartcenter.or.kr/"
"404","지방문화원","마포문화원","","    ","마포구  ","121-853","서울시 마포구 백범로 227","","02-312-1100","http://mapocc.or.kr/"
"405","공연장","마포아트센터","Mapo Arts Center","2008","마포구  ","       ","서울시 마포구 대흥동 30-3","","02-3274-8600",""
"406","공연연습실(대학로)","마포아트센터","","    ","마포구  ","121-809","서울시 마포구 대흥로 20길 28","","02-3274-8500","http://www.mapoartcenter.or.kr/"
"407","청소년수련관","마포청소년문화의집","","    ","마포구  ","121-904","서울시  마포구 상암산로1길 67","","02-303-1380~1","http://www.madeul.org"
"408","청소년수련관","마포청소년수련관","","    ","마포구  ","121-711","서울시 마포구 월드컵로 212","","02-3153-5900","http://www.nowon.or.kr"
"409","도서관","마포평생학습관","","    ","마포구  ","121-837","서울시 마포구 홍익로2길 16","","02-2137-0000","http://mpllc.sen.go.kr"
"410","도서관","마포평생학습관 아현분관","","    ","마포구  ","121-861","서울시 마포구 마포대로 224","","02-362-8785","http://ahyon.sen.go.kr"
"411","공연장","맛있는 극장","","2010","종로구  ","       ","서울시 종로구 혜화동 109-4  지층","","02-821-1084","http://mrent.1step.co.kr/"
"412","청소년수련관","망우청소년수련관","","    ","중랑구  ","131-800","서울시 중랑구 송림길 156","","02-492-7942","http://www.gwanakcullib.seoul.kr/"
"413","공연장","메모리아트홀","Memory ArtHall","2009","종로구  ","       ","서울시 종로구 동숭동 50-24 지하1층","","02-764-1002",""
"414","공연장","메사고릴라크루전용관(메사팝콘홀)","","    ","중구   ","       ","서울시 중구 회현동 1가 204번지 10~12층","","02-318-8351~2",""
"415","복지관","면목종합사회복지관","","    ","중랑구  ","131-753","서울시 중랑구 용마산로 228","","02-436-0500","http://www.yangcheonart.go.kr/"
"416","전시시설","명갤러리","","    ","종로구  ","110-300","서울시 종로구 인사동길 28-1","3층","02-720-4716","http://www.cmah.or.kr"
"417","공연장","명동 해치홀","HAECHIHALL","2008","중구   ","       ","서울시 중구 명동2가 31-1 M플라자 빌딩 5층","","02-727-3251","http://www.haechihall.net"
"418","공연장","명동난타극장(구.명동아트센터)","Myeong Dong Art Center","    ","중구   ","       ","서울시 중구 명동2가 50-14","","02-318-6004",""
"419","공연연습실(대학로)","명동성당 꼬스트홀","","    ","중구   ","100-809","서울시 중구 명동길 74","","02-2270-2234",""
"420","공연장","명동예술극장","MYEONGDONG THEATER","2009","종로구  ","       ","서울시 종로구 명동 1가 54","","02-1644-2003","http://www.MDtheater.or.kr/"
"421","공연연습실(대학로)","명동예술극장","","    ","중구   ","101-021","서울시 중구 명동길35","","02-1644-2003","http://www.sjbboys.com"
"422","전시시설","모인화랑","","    ","종로구  ","110-300","서울시 종로구 인사동10길 13","청아빌딩 2층","02-739-9292,9291","http://www.coextheaters.com/kor/main.asp"
"423","공연연습실(대학로)","모차르트홀","","    ","서초구  ","137-871","서울시 서초구 명달로 104","모차르트빌딩 2층","02-3472-8222","http://www.daechung.or.kr"
"424","전시시설","목금토갤러리","","    ","종로구  ","110-809","서울시 종로구 마로니에길 33","대학로 문화공간 3,4층","02-764-0700","http://www.ligarthall.com/"
"425","공연장","목동 브로드홀","Broad Hall","    ","양천구  ","       ","서울시 양천구 목동 923-5","","02-2647-8175",""
"426","복지관","목동종합사회복지관","","    ","양천구  ","158-810","서울시 양천구 목동중앙북로 8길 104","","02-2651-2332","http://www.mokdongswc.org"
"427","공연연습실(대학로)","목동청소년수련관","","    ","양천구  ","158-050","서울시 양천구 목동서로 143","","02-2642-1318","http://www.jamsilswc.or.kr"
"428","도서관","목마작은도서관","","    ","양천구  ","158-879","서울시 양천구 목동동로 407-2","","02-2652-8910","http://www.youth1318.or.kr"
"429","도서관","문래정보문화도서관","","    ","영등포구 ","150-093","서울시 영등포구 문래로20길 49","","02-2629-8600","http://www.mllib.or.kr"
"430","청소년수련관","문래청소년수련관","","    ","영등포구 ","150-835","서울시 영등포구 문래로 110","","02-2675-7776","http://www.mullaeyouth.or.kr"
"431","공연장","문화공간 가치","cultural space value","2020","도봉구  ","01448  ","서울시 도봉구 도봉로109길 11 (쌍문동)","2층","02-999-8845","http://blog.naver.com/dobong_art"
"432","공연장","문화공간 아리","","2009","종로구  ","       ","서울시 종로구 혜화동 10-18 지하1층","","",""
"433","공연연습실(대학로)","문화공간 아리","","    ","종로구  ","110-530","서울시 종로구 혜화로 46","","070-8744-9199",""
"434","공연장","문화공간엘림홀","Culture Space Ellim Hall","2007","종로구  ","       ","서울시 종로구 동숭동 195- 6(110-810)","","02-766-7462","http://www.ds.or.kr"
"435","공연장","문화일보갤러리","MUNHWAILBO GALLERY","1995","중구   ","       ","서울시 중구 충정로 1가 68","","02-3701-5755","http://gallery.munhwa.co.kr"
"436","공연장","문화일보홀","Munhwailbo Hall&nbsp;","1995","중구   ","       ","서울시 중구 충정로1가 68 문화일보 홀","","02-3701-5754","http://hall.munhwa.com"
"437","공연연습실(대학로)","문화일보홀","","    ","중구   ","100-723","서울시 중구 새문안로 22","","02-3701-5714","http://www.tintinhall.co.kr"
"438","공연장","문화정원아트홀","MUN HWA JEONG WON Aat Hall","2015","금천구  ","08523  ","서울시 금천구 가산로 61 (독산동)","지하 1층","02-839-1155","http://www.cgarthall.co.kr/xe/"
